City,City,City.1,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Climate Description,Hotel Name
3,3,Atuona,PF,-9.8,-139.0333,76.39,78,28,19.46,scattered clouds,Villa Enata
4,4,Manado,ID,1.487,124.8455,83.17,78,40,6.91,light rain,Aryaduta Hotel
7,7,Emerald,AU,-23.5333,148.1667,76.33,51,10,15.3,clear sky,The Irish Village
8,8,Kinkala,CG,-4.3614,14.7644,70.93,87,76,2.44,broken clouds,Hotel la Pepeche Kinkala
13,13,Isangel,VU,-19.55,169.2667,78.91,78,75,9.22,broken clouds,Tanna Lodge
17,17,Rikitea,PF,-23.1203,-134.9692,71.42,65,89,19.66,overcast clouds,People ThankYou
19,19,Balikpapan,ID,-1.2675,116.8289,83.39,79,20,3.44,few clouds,Swiss-Belhotel Balikpapan
23,23,Huaicheng,CN,23.9051,112.1931,88.77,56,5,1.16,clear sky,Tengye Hotel
24,24,Hasaki,JP,35.7333,140.8333,84.22,69,37,22.1,scattered clouds,Inubosaki Kanko Hotel
26,26,Vaini,TO,-21.2,-175.2,82.56,69,75,14.97,broken clouds,Keleti Beach Resort
27,27,Mattru,SL,7.6244,-11.8332,72.32,99,99,2.62,overcast clouds,"Mondkor Town, Bagbo Chiefdom, Bo District"
32,32,Praia,CV,14.9215,-23.5087,79.34,83,75,12.66,broken clouds,LT Aparthotel
34,34,Puerto El Triunfo,SV,13.2833,-88.55,75.49,92,100,3.85,overcast clouds,Hotel Jardin
35,35,Omboue,GA,-1.5746,9.2618,75.09,88,99,6.93,light rain,Hotel Olako
37,37,Tiznit,MA,29.5833,-9.5,75.4,28,5,0.13,clear sky,
44,44,Hervey Bay,AU,-25.2986,152.8535,75.02,47,33,5.99,scattered clouds,Shelly Bay Resort
50,50,Quang Ngai,VN,15.1167,108.8,82.6,75,96,4.59,light rain,Central Hotel
59,59,Mahebourg,MU,-20.4081,57.7,70.25,78,20,6.91,few clouds,Shandrani Beachcomber Resort & Spa
61,61,Viransehir,TR,37.2353,39.7631,72.48,33,0,7.61,clear sky,Viranşehir Öğretmenevi
67,67,Tezu,IN,27.9167,96.1667,75.9,97,100,0.87,overcast clouds,Circuit House
68,68,Kapaa,US,22.0752,-159.319,83.48,66,1,7.0,clear sky,Sheraton Kauai Coconut Beach Resort
72,72,Alofi,NU,-19.0595,-169.9187,82.29,74,75,12.66,broken clouds,Taloa Heights
74,74,Casablanca,MA,33.5928,-7.6192,75.33,73,0,5.99,clear sky,فندق البيت المغربي كازبلانكا
76,76,Abu Samrah,SY,35.3029,37.1841,70.47,82,0,3.71,clear sky,
78,78,Cabo San Lucas,MX,22.8909,-109.9124,83.17,72,2,5.77,clear sky,Hotel Tesoro Los Cabos
79,79,Souillac,MU,-20.5167,57.5167,70.18,78,20,6.91,few clouds,Shanti Maurice Resort & Spa
84,84,Poum,NC,-20.2333,164.0167,74.1,64,2,16.78,clear sky,
91,91,Harper,LR,4.375,-7.7169,75.6,90,99,5.01,overcast clouds,Screensaver
93,93,Utmanzai,PK,34.188,71.7629,72.21,56,0,2.51,clear sky,ENGR. JUNAID ZAMAN HOME
100,100,Hithadhoo,MV,-0.6,73.0833,82.06,69,100,15.88,overcast clouds,Scoop Guest House
101,101,Tura,IN,25.5198,90.2201,72.3,96,100,3.42,overcast clouds,Hotel RIKMAN Continental
105,105,Saint George,US,37.1041,-113.5841,79.39,31,0,13.8,clear sky,Best Western Plus Abbey Inn
109,109,Hilo,US,19.7297,-155.09,83.28,88,100,11.5,overcast clouds,Hilo Hawaiian Hotel
110,110,Anton Lizardo,MX,19.05,-95.9833,77.79,75,3,8.21,clear sky,Hotel CocoAventura
111,111,Alice Springs,AU,-23.7,133.8833,88.21,40,75,8.05,broken clouds,Desert Palms Alice Springs
119,119,Koupela,BF,12.1794,-0.3517,78.66,73,2,11.36,clear sky,La maison des femmes prostituées ou Bourdelles de tenkodogo
122,122,Pauini,BR,-7.7136,-66.9764,77.49,66,52,0.89,broken clouds,Casa do Kiwliks
123,123,Dicabisagan,PH,17.0818,122.4157,85.95,68,61,3.62,broken clouds,Nancy Montanes Bernardo
125,125,Carupano,VE,10.6678,-63.2585,78.37,87,100,5.7,overcast clouds,Hotel La dorada
127,127,Ijero,NG,6.4819,3.3803,77.23,100,20,2.3,few clouds,Esporta Suites Yaba
129,129,Salalah,OM,17.0151,54.0924,75.7,83,89,4.56,overcast clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,130,Lang Suan,TH,9.9456,99.0785,80.62,82,100,4.34,overcast clouds,Langsuan Resort
131,131,Avarua,CK,-21.2078,-159.775,78.85,73,40,20.71,scattered clouds,Paradise Inn
133,133,Hirara,JP,24.8,125.2833,86.27,70,20,5.75,few clouds,Hotel Atoll Emerald Miyakojima
134,134,Ardakan,IR,32.31,54.0175,70.72,25,0,2.35,clear sky,Ardakan Hotel
136,136,Bilma,NE,18.6853,12.9164,84.47,17,0,10.38,clear sky,Expeditions Ténére voyages
151,151,Sinjai,ID,-5.1241,120.253,86.88,61,95,6.24,overcast clouds,Wisma Sandika
154,154,Carnarvon,AU,-24.8667,113.6333,73.33,37,0,2.55,clear sky,Hospitality Carnarvon
155,155,Marsa Matruh,EG,31.3525,27.2453,70.0,73,0,6.91,clear sky,Beau Site
156,156,Mathbaria,BD,22.2876,89.9593,82.81,86,100,8.86,overcast clouds,Shikdar Hotel
160,160,Bandarbeyla,SO,9.4942,50.8122,76.68,76,29,19.42,scattered clouds,JABIR HOTEL
167,167,El Dorado,US,38.7666,-120.5177,72.12,60,0,1.01,clear sky,South Fork Group Campground
170,170,Maragogi,BR,-9.0122,-35.2225,75.58,75,67,7.31,broken clouds,Salinas do Maragogi All Inclusive Resort
180,180,Kahului,US,20.8947,-156.47,80.96,89,40,10.0,scattered clouds,Maui Seaside Hotel
183,183,Rustenburg,ZA,-25.6676,27.2421,72.7,24,0,1.79,clear sky,Rustenburg Boutique Hotel
186,186,Key West,US,24.5557,-81.7826,84.0,63,46,5.99,scattered clouds,Fairfield Inn & Suites by Marriott Key West
187,187,Caninde,BR,-4.3589,-39.3117,74.19,67,33,3.51,scattered clouds,Hotel Casa Grande II
195,195,Sri Aman,MY,1.2376,111.4621,80.65,89,20,3.44,few clouds,Seri Simanggang Hotel
198,198,Mino,JP,34.8269,135.4706,82.83,64,75,6.91,broken clouds,Ooedo Onsen Monogatari Minoh Kankō Hotel
200,200,Bengkulu,ID,-3.8004,102.2655,79.63,79,100,3.15,overcast clouds,Grage Hotel Bengkulu
202,202,Acapulco,MX,16.8634,-99.8901,79.45,80,34,7.18,scattered clouds,HS Hotsson Smart Acapulco
207,207,Georgetown,MY,5.4112,100.3354,84.88,81,20,5.75,few clouds,Cititel Penang
210,210,San Cristobal,VE,7.7669,-72.225,75.38,87,59,2.39,broken clouds,Pirineos
217,217,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,13.8,scattered clouds,Atlantis Hotel
220,220,Whyalla,AU,-33.0333,137.5833,76.12,41,31,18.57,scattered clouds,Foreshore Motor Inn
221,221,Timbiras,BR,-4.2553,-43.9406,76.73,75,23,5.59,few clouds,Timbiras Palmeirais Hotel
222,222,Boca Do Acre,BR,-8.7522,-67.3978,75.22,78,71,0.58,broken clouds,Hotel Sao Pedro
224,224,Japura,ID,-0.3167,102.35,75.76,95,100,1.43,overcast clouds,Rumah mbah Jamah
225,225,Sola,VU,-13.8833,167.55,80.38,75,17,10.74,few clouds,Leumerus Bungalows
228,228,Parasia,IN,22.2,78.7667,70.05,80,88,6.73,overcast clouds,Hotel Navrang
229,229,Ciudad Valles,MX,21.9833,-99.0167,70.79,91,99,2.01,overcast clouds,Hotel Mision Ciudad Valles
232,232,Tessalit,ML,20.1986,1.0114,85.71,14,0,11.61,clear sky,
234,234,Port Augusta,AU,-32.5,137.7667,82.08,32,95,20.98,overcast clouds,Majestic Oasis Apartments
236,236,Great Bend,US,38.3645,-98.7648,72.03,34,14,10.94,few clouds,Best Western Angus Inn
237,237,Naraina,IN,26.7833,75.2,76.39,55,0,9.91,clear sky,Acharya Shri Jayant Satsang Bhavan
238,238,Alta Floresta,BR,-9.8756,-56.0861,73.08,81,14,1.92,heavy intensity rain,Floresta Amazonica Hotel
239,239,Nakhon Phanom,TH,17.3333,104.4167,82.08,73,11,4.72,few clouds,ป่ายางรีสอร์ท
240,240,Mazagao,BR,-0.115,-51.2894,84.25,82,88,7.4,light rain,Recanto dos Ferreiras
245,245,Butaritari,KI,3.0707,172.7902,81.84,74,85,11.56,overcast clouds,Isles Sunset Lodge
246,246,Isla Vista,US,34.4133,-119.861,73.62,75,0,5.7,clear sky,Best Western Plus South Coast Inn
248,248,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,93,46,10.63,light rain,Pestana Bahia Praia
251,251,Axim,GH,4.8699,-2.2405,75.09,93,71,5.64,broken clouds,Axim Beach Resort And Spa
254,254,Kharsia,IN,21.9667,83.1167,77.22,88,100,3.62,moderate rain,Proposed Madhav Priya Hotel
256,256,Cuamba,MZ,-14.8031,36.5372,70.65,44,0,6.06,clear sky,Hotel Vision
259,259,Gatton,AU,-27.55,152.2833,70.74,42,10,5.5,clear sky,Room Motels Gatton
260,260,Karaton,ID,-6.3424,106.1045,79.7,78,100,5.35,overcast clouds,Parkir Mobil Wisata CAS Water Park
264,264,Bundaberg,AU,-24.85,152.35,76.21,48,1,5.01,clear sky,Takalvan Motel
265,265,Sabang,ID,5.8933,95.3214,81.07,76,88,15.52,light rain,Hotel Citra
266,266,Mitsamiouli,KM,-11.3847,43.2844,74.61,73,7,4.59,clear sky,Foyer ADM
268,268,Ternate,ID,0.8,127.4,82.99,72,100,1.88,overcast clouds,Sahid Bela Ternate Hotel
269,269,Aquidauana,BR,-20.4711,-55.7872,73.13,52,10,3.85,clear sky,HOTEL ARARAS
272,272,Karratha,AU,-20.7377,116.8463,82.15,36,0,8.61,clear sky,ibis Styles Karratha
273,273,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,51,20,8.05,few clouds,Valle Aridane
275,275,Praya,CV,14.9215,-23.5087,79.29,80,100,10.09,overcast clouds,LT Aparthotel
281,281,Stabat,ID,3.761,98.4513,78.19,80,100,2.91,overcast clouds,Link VII damai
282,282,Basco,PH,20.4487,121.9702,83.44,78,56,13.33,broken clouds,Nathaniel's Lodge
284,284,Yeppoon,AU,-23.1333,150.7333,74.98,52,5,15.1,clear sky,Villa Mar Colina
285,285,Richards Bay,ZA,-28.783,32.0377,70.2,76,100,15.21,overcast clouds,BON Hotel Waterfront Richards Bay
287,287,Redding,US,40.5865,-122.3917,83.97,40,0,6.91,clear sky,Redding Inn & Suites
288,288,Allapalli,IN,19.4167,80.0667,75.27,85,100,3.0,overcast clouds,"Hotel IK Residency, GUEST HOUSE AC NON AC"
291,291,Pitimbu,BR,-7.4706,-34.8086,74.84,80,47,9.82,scattered clouds,Reserva do Abiaí
293,293,Noumea,NC,-22.2763,166.4572,76.98,59,14,12.17,few clouds,Hôtel Le Lagon
294,294,Kamaishi,JP,39.2667,141.8833,73.47,72,99,15.17,light rain,Hotel Route Inn Kamaishi
297,297,Carutapera,BR,-1.195,-46.02,77.85,81,9,7.74,clear sky,Lidera
298,298,Victoria,HK,22.2855,114.1577,88.97,75,4,5.01,clear sky,Mini Central
299,299,Huangzhou,CN,30.45,114.8,75.18,69,91,10.09,overcast clouds,City Express Hotel
303,303,Lincoln,US,40.8,-96.667,71.29,50,63,4.0,broken clouds,Courtyard by Marriott Lincoln Downtown/Haymarket
304,304,Umm Lajj,SA,25.0213,37.2685,82.99,59,0,2.91,clear sky,Moon light Furnished Units
306,306,Lorengau,PG,-2.0226,147.2712,86.11,67,16,10.83,few clouds,Lorengau Harbourside Hotel
307,307,Denpasar,ID,-8.65,115.2167,78.46,88,75,3.44,broken clouds,OYO 3156 Hotel Warta 2
308,308,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.25,41,40,2.46,scattered clouds,Tarumã Tropical Hotel
310,310,Del Rio,US,29.3627,-100.8968,75.24,49,100,10.29,overcast clouds,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
318,318,Celestun,MX,20.8667,-90.4,79.14,73,27,13.53,scattered clouds,Posada Lilia
320,320,Port Hedland,AU,-20.3167,118.5667,80.65,61,40,12.66,scattered clouds,The Esplanade Hotel
321,321,Pyapon,MM,16.2833,95.6833,81.48,84,13,9.93,few clouds,Aung Naing Thu Motel
323,323,Puerto Plata,DO,19.7934,-70.6884,75.45,87,100,2.35,overcast clouds,Be Live Collection Marien
325,325,Lao Cai,VN,22.4833,103.95,78.87,85,61,1.12,broken clouds,Legend Hotel
328,328,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,10.0,moderate rain,Hotel Vitória Palace
331,331,Colares,PT,38.7992,-9.4469,72.34,76,5,13.0,clear sky,Arribas Sintra Hotel
333,333,Poya,NC,-21.35,165.15,76.84,49,33,12.53,scattered clouds,
334,334,Hambantota,LK,6.1241,81.1185,77.34,94,20,3.44,few clouds,Bungalow 63
