City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Climate Description
0,Busselton,AU,-33.65,115.3333,59.76,63,0,13.33,clear sky
1,Tasiilaq,GL,65.6145,-37.6368,34.57,98,100,8.57,light snow
2,Jamestown,US,42.097,-79.2353,47.84,66,0,5.75,clear sky
3,Atuona,PF,-9.8,-139.0333,76.39,78,28,19.46,scattered clouds
4,Manado,ID,1.487,124.8455,83.17,78,40,6.91,light rain
5,Albany,US,42.6001,-73.9662,49.68,80,100,2.73,overcast clouds
6,Te Anau,NZ,-45.4167,167.7167,45.82,91,99,6.73,overcast clouds
7,Emerald,AU,-23.5333,148.1667,76.33,51,10,15.3,clear sky
8,Kinkala,CG,-4.3614,14.7644,70.93,87,76,2.44,broken clouds
9,Hobart,AU,-42.8794,147.3294,55.26,57,40,19.57,scattered clouds
10,Nanortalik,GL,60.1432,-45.2371,36.37,74,5,4.21,clear sky
11,Cape Town,ZA,-33.9258,18.4232,61.38,85,20,6.91,few clouds
12,Ambilobe,MG,-13.2,49.05,63.9,83,10,3.4,clear sky
13,Isangel,VU,-19.55,169.2667,78.91,78,75,9.22,broken clouds
14,Yellowknife,CA,62.456,-114.3525,45.12,70,75,9.22,broken clouds
15,Khatanga,RU,71.9667,102.5,18.18,86,100,6.38,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,8.05,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,71.42,65,89,19.66,overcast clouds
18,Sangar,RU,63.9242,127.4739,26.74,60,94,5.48,overcast clouds
19,Balikpapan,ID,-1.2675,116.8289,83.39,79,20,3.44,few clouds
20,Ushuaia,AR,-54.8,-68.3,46.06,66,0,3.44,clear sky
21,East London,ZA,-33.0153,27.9116,62.64,70,100,14.67,overcast clouds
22,Alekseyevka,RU,50.6309,38.6903,49.24,75,20,11.56,few clouds
23,Huaicheng,CN,23.9051,112.1931,88.77,56,5,1.16,clear sky
24,Hasaki,JP,35.7333,140.8333,84.22,69,37,22.1,scattered clouds
25,Provideniya,RU,64.3833,-173.3,44.71,70,0,7.0,clear sky
26,Vaini,TO,-21.2,-175.2,82.56,69,75,14.97,broken clouds
27,Mattru,SL,7.6244,-11.8332,72.32,99,99,2.62,overcast clouds
28,The Pas,CA,53.8251,-101.2541,46.42,76,0,0.0,clear sky
29,Vao,NC,-22.6667,167.4833,69.21,65,3,16.35,clear sky
30,Kletnya,RU,53.3897,33.2171,39.45,93,100,11.86,overcast clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,52.09,88,0,8.05,clear sky
32,Praia,CV,14.9215,-23.5087,79.34,83,75,12.66,broken clouds
33,Komsomolskiy,UZ,40.4272,71.7189,54.32,50,0,6.91,clear sky
34,Puerto El Triunfo,SV,13.2833,-88.55,75.49,92,100,3.85,overcast clouds
35,Omboue,GA,-1.5746,9.2618,75.09,88,99,6.93,light rain
36,Ribeira Grande,PT,38.5167,-28.7,69.53,82,99,3.02,overcast clouds
37,Tiznit,MA,29.5833,-9.5,75.4,28,5,0.13,clear sky
38,Pisco,PE,-13.7,-76.2167,59.05,88,0,16.11,clear sky
39,Fairbanks,US,64.8378,-147.7164,51.8,72,40,5.75,scattered clouds
40,Clyde River,CA,70.4692,-68.5914,28.63,100,100,5.75,overcast clouds
41,Qaqortoq,GL,60.7167,-46.0333,34.99,60,0,6.67,clear sky
42,Qaanaaq,GL,77.484,-69.3632,17.44,72,100,6.17,overcast clouds
43,Vengerovo,RU,55.6848,76.7471,32.52,66,81,6.11,broken clouds
44,Hervey Bay,AU,-25.2986,152.8535,75.02,47,33,5.99,scattered clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,38,4.0,scattered clouds
46,Bluff,NZ,-46.6,168.3333,45.03,86,100,19.95,light rain
47,Quelimane,MZ,-17.8786,36.8883,69.75,94,0,0.0,clear sky
48,Cidreira,BR,-30.1811,-50.2056,55.24,75,0,6.42,clear sky
49,Vardo,NO,70.3705,31.1107,37.38,93,100,4.61,overcast clouds
50,Quang Ngai,VN,15.1167,108.8,82.6,75,96,4.59,light rain
51,Hermanus,ZA,-34.4187,19.2345,55.8,71,53,6.89,broken clouds
52,Saskylakh,RU,71.9167,114.0833,16.25,95,95,6.17,overcast clouds
53,Kiruna,SE,67.8557,20.2251,36.52,100,100,0.0,mist
54,Castro,BR,-24.7911,-50.0119,55.96,98,100,4.47,light rain
55,Maldonado,UY,-34.6667,-54.9167,53.22,89,30,3.69,scattered clouds
56,Ilulissat,GL,69.2167,-51.1,16.9,82,29,6.22,scattered clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,14.97,overcast clouds
58,Palmer,US,42.1584,-72.3287,50.63,68,100,8.05,overcast clouds
59,Mahebourg,MU,-20.4081,57.7,70.25,78,20,6.91,few clouds
60,Mbandaka,CD,0.0487,18.2603,69.22,98,99,2.68,overcast clouds
61,Viransehir,TR,37.2353,39.7631,72.48,33,0,7.61,clear sky
62,Ussel,FR,45.55,2.3167,46.29,94,18,1.28,few clouds
63,Falkenberg,SE,56.9055,12.4912,49.95,95,38,2.71,scattered clouds
64,Upernavik,GL,72.7868,-56.1549,21.78,77,100,6.29,overcast clouds
65,Kosh-Agach,RU,50.0,88.6667,25.07,32,0,0.87,clear sky
66,Dikson,RU,73.5069,80.5464,31.42,99,100,3.13,light snow
67,Tezu,IN,27.9167,96.1667,75.9,97,100,0.87,overcast clouds
68,Kapaa,US,22.0752,-159.319,83.48,66,1,7.0,clear sky
69,Xudat,AZ,41.631,48.681,65.1,86,0,4.65,clear sky
70,Najran,SA,17.4924,44.1277,66.85,20,0,3.74,clear sky
71,Homer,US,59.6425,-151.5483,50.81,79,100,4.0,overcast clouds
72,Alofi,NU,-19.0595,-169.9187,82.29,74,75,12.66,broken clouds
73,Batemans Bay,AU,-35.7167,150.1833,65.1,56,81,9.48,broken clouds
74,Casablanca,MA,33.5928,-7.6192,75.33,73,0,5.99,clear sky
75,Guerrero Negro,MX,27.9769,-114.0611,69.6,80,58,15.7,broken clouds
76,Abu Samrah,SY,35.3029,37.1841,70.47,82,0,3.71,clear sky
77,Camacha,PT,33.0833,-16.3333,63.82,82,20,3.44,few clouds
78,Cabo San Lucas,MX,22.8909,-109.9124,83.17,72,2,5.77,clear sky
79,Souillac,MU,-20.5167,57.5167,70.18,78,20,6.91,few clouds
80,Chuy,UY,-33.6971,-53.4616,55.8,60,91,8.59,overcast clouds
81,Chifeng,CN,42.2683,118.9636,40.6,27,0,19.57,clear sky
82,Saint-Ambroise,CA,48.5501,-71.3324,46.0,61,89,2.3,overcast clouds
83,Ahipara,NZ,-35.1667,173.1667,59.31,71,91,12.15,overcast clouds
84,Poum,NC,-20.2333,164.0167,74.1,64,2,16.78,clear sky
85,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,41,13.09,scattered clouds
86,New Norfolk,AU,-42.7826,147.0587,54.91,58,96,1.99,overcast clouds
87,Arraial Do Cabo,BR,-22.9661,-42.0278,67.93,85,100,3.49,light rain
88,Grindavik,IS,63.8424,-22.4338,51.75,76,100,17.27,overcast clouds
89,Belaya Gora,RU,68.5333,146.4167,26.01,78,97,5.19,overcast clouds
90,Salair,RU,54.2312,85.7972,31.75,66,16,3.2,few clouds
91,Harper,LR,4.375,-7.7169,75.6,90,99,5.01,overcast clouds
92,Berlevag,NO,70.8578,29.0864,39.0,93,100,5.75,overcast clouds
93,Utmanzai,PK,34.188,71.7629,72.21,56,0,2.51,clear sky
94,Ostrovnoy,RU,68.0531,39.5131,41.05,77,100,8.81,overcast clouds
95,Ancud,CL,-41.8697,-73.8203,48.87,94,100,12.64,light rain
96,Torbay,CA,47.6666,-52.7314,44.17,74,0,3.44,clear sky
97,Port Hardy,CA,50.6996,-127.4199,57.38,88,40,3.44,scattered clouds
98,Cortez,US,37.3489,-108.5859,55.04,67,79,3.94,broken clouds
99,Nikolskoye,RU,59.7035,30.7861,48.09,90,98,7.7,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,82.06,69,100,15.88,overcast clouds
101,Tura,IN,25.5198,90.2201,72.3,96,100,3.42,overcast clouds
102,Lebu,CL,-37.6167,-73.65,51.44,93,98,11.65,overcast clouds
103,Bud,US,39.447,-86.1758,55.67,65,0,7.47,clear sky
104,Iqaluit,CA,63.7506,-68.5145,38.93,80,100,16.11,light rain
105,Saint George,US,37.1041,-113.5841,79.39,31,0,13.8,clear sky
106,Saint Anthony,US,45.0205,-93.218,67.75,57,75,1.99,broken clouds
107,Ileza,RU,61.0533,43.9002,48.74,93,100,7.94,overcast clouds
108,Bereda,ES,43.2686,-7.5406,56.41,100,0,1.34,clear sky
109,Hilo,US,19.7297,-155.09,83.28,88,100,11.5,overcast clouds
110,Anton Lizardo,MX,19.05,-95.9833,77.79,75,3,8.21,clear sky
111,Alice Springs,AU,-23.7,133.8833,88.21,40,75,8.05,broken clouds
112,Skjervoy,NO,70.0311,20.9714,37.4,75,98,10.96,overcast clouds
113,Mount Pleasant,US,32.7941,-79.8626,60.01,89,0,4.61,clear sky
114,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,2.3,clear sky
115,Isiro,CD,2.7739,27.616,63.91,100,95,0.98,moderate rain
116,Gobabis,NA,-22.45,18.9667,64.53,17,0,10.56,clear sky
117,Ulaangom,MN,49.9811,92.0667,32.7,35,0,1.16,clear sky
118,Penzance,GB,50.1186,-5.5371,57.88,86,100,16.13,overcast clouds
