City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-10-01 14:58:25,38.5167,-28.7,73.8,78,40,17.27
1,Vangaindrano,MG,2022-10-01 15:01:13,-23.35,47.6,71.35,72,7,10.04
2,Ewa Beach,US,2022-10-01 15:00:42,21.3156,-158.0072,76.98,77,2,4.0
3,Abilene,US,2022-10-01 14:57:03,32.4487,-99.7331,74.17,38,0,1.01
4,Portland,US,2022-10-01 14:58:46,45.5234,-122.6762,64.51,89,5,3.0
5,Kapaa,US,2022-10-01 15:01:13,22.0752,-159.319,75.18,92,75,4.61
6,Ushuaia,AR,2022-10-01 15:01:14,-54.8,-68.3,42.46,61,75,26.46
7,Ponta Do Sol,PT,2022-10-01 15:01:14,32.6667,-17.1,79.72,69,79,1.36
8,Yar-Sale,RU,2022-10-01 15:01:14,66.8333,70.8333,32.72,67,87,13.67
9,Port Alfred,ZA,2022-10-01 15:01:15,-33.5906,26.891,67.17,75,94,4.0
10,Bambous Virieux,MU,2022-10-01 15:01:15,-20.3428,57.7575,71.22,70,37,14.09
11,Paracatu,BR,2022-10-01 14:59:09,-17.2222,-46.8747,84.79,43,79,6.44
12,Isangel,VU,2022-10-01 15:01:16,-19.55,169.2667,75.6,89,23,6.78
13,Mao,ES,2022-10-01 15:01:16,39.8885,4.2658,73.96,53,20,8.05
14,Kruisfontein,ZA,2022-10-01 15:01:16,-34.0033,24.7314,65.88,63,50,10.69
15,Mahebourg,MU,2022-10-01 15:01:17,-20.4081,57.7,71.26,70,37,14.09
16,Saint George,US,2022-10-01 15:00:00,37.1041,-113.5841,69.44,37,0,1.01
17,Pisco,PE,2022-10-01 15:01:17,-13.7,-76.2167,65.01,75,5,5.41
18,Torbay,CA,2022-10-01 15:01:18,47.6666,-52.7314,62.89,65,5,10.0
19,Talnakh,RU,2022-10-01 15:01:18,69.4865,88.3972,27.73,97,100,6.06
20,Atuona,PF,2022-10-01 15:01:18,-9.8,-139.0333,75.24,78,80,14.36
21,Tessalit,ML,2022-10-01 15:01:19,20.1986,1.0114,95.38,24,76,15.84
22,Esperance,AU,2022-10-01 15:01:19,-33.8667,121.9,56.48,74,100,14.5
23,Thompson,CA,2022-10-01 15:00:50,55.7435,-97.8558,38.8,44,0,4.76
24,Puerto Ayora,EC,2022-10-01 15:01:19,-0.7393,-90.3518,63.55,100,99,3.0
25,Butaritari,KI,2022-10-01 15:01:20,3.0707,172.7902,81.28,77,100,14.0
26,Victoria,HK,2022-10-01 15:00:58,22.2855,114.1577,83.32,88,38,11.01
27,Tuktoyaktuk,CA,2022-10-01 15:01:21,69.4541,-133.0374,32.86,81,100,11.68
28,Piura,PE,2022-10-01 15:00:05,-5.2,-80.6333,74.73,54,45,10.33
29,Mar Del Plata,AR,2022-10-01 15:01:21,-38.0023,-57.5575,63.0,53,69,7.61
30,Punta Arenas,CL,2022-10-01 14:58:06,-53.15,-70.9167,46.51,46,40,24.16
31,Dunedin,NZ,2022-10-01 15:00:37,-45.8742,170.5036,45.81,77,22,2.59
32,Dikson,RU,2022-10-01 15:01:22,73.5069,80.5464,34.48,99,100,13.22
33,Lyudinovo,RU,2022-10-01 15:01:22,53.8664,34.4478,59.0,88,100,8.59
34,West Wendover,US,2022-10-01 15:01:23,40.7391,-114.0733,55.72,53,11,4.36
35,Mihara,JP,2022-10-01 15:01:23,34.4,133.0833,70.12,73,75,4.34
36,Jumla,NP,2022-10-01 15:01:23,29.2747,82.1838,57.61,93,57,2.66
37,Neiafu,TO,2022-10-01 15:01:24,-18.65,-173.9833,76.28,77,7,18.92
38,Ukiah,US,2022-10-01 15:01:24,39.1502,-123.2078,63.64,81,0,0.0
39,Hobart,AU,2022-10-01 14:58:51,-42.8794,147.3294,45.05,89,8,4.61
40,Castro,BR,2022-10-01 15:01:25,-24.7911,-50.0119,65.59,78,92,6.67
41,Rikitea,PF,2022-10-01 15:01:25,-23.1203,-134.9692,73.65,71,68,9.26
42,Pacific Grove,US,2022-10-01 15:01:25,36.6177,-121.9166,57.02,95,82,3.0
43,Hermanus,ZA,2022-10-01 15:01:26,-34.4187,19.2345,68.81,66,100,10.4
44,Qaanaaq,GL,2022-10-01 15:01:26,77.484,-69.3632,11.07,73,0,5.23
45,Puerto Madryn,AR,2022-10-01 15:01:26,-42.7692,-65.0385,63.93,31,1,10.11
46,Kaupanger,NO,2022-10-01 15:01:27,61.1845,7.2404,54.1,96,100,1.77
47,Sabha,LY,2022-10-01 15:01:27,27.0377,14.4283,102.67,9,0,9.28
48,Hukuntsi,BW,2022-10-01 15:03:31,-24.0,21.75,94.1,11,5,3.8
49,Georgetown,MY,2022-10-01 15:03:32,5.4112,100.3354,78.89,87,20,0.0
50,Lata,PT,2022-10-01 15:03:32,40.1629,-8.3327,78.93,40,10,3.53
51,Zhicheng,CN,2022-10-01 15:03:33,30.2956,111.5047,83.97,56,29,5.37
52,Dingle,PH,2022-10-01 15:03:33,10.9995,122.6711,77.04,89,36,6.73
53,Rengasdengklok,ID,2022-10-01 15:03:33,-6.1592,107.2981,81.16,76,99,2.77
54,Rio Gallegos,AR,2022-10-01 15:01:55,-51.6226,-69.2181,46.76,39,6,19.17
55,Vila Velha,BR,2022-10-01 15:03:34,-20.3297,-40.2925,72.95,72,80,4.0
56,Surt,LY,2022-10-01 15:03:34,31.2089,16.5887,97.02,32,0,4.45
57,Sibolga,ID,2022-10-01 15:03:34,1.7427,98.7792,77.09,90,100,2.73
58,Gillette,US,2022-10-01 15:00:08,44.2911,-105.5022,51.03,95,100,8.01
59,Mataura,NZ,2022-10-01 15:03:35,-46.1927,168.8643,32.99,99,10,1.97
60,Fortuna,US,2022-10-01 15:03:35,40.5982,-124.1573,48.54,48,48,4.12
61,Jamestown,US,2022-10-01 14:59:41,42.097,-79.2353,57.02,51,100,7.0
62,Isiro,CD,2022-10-01 15:03:36,2.7739,27.616,80.83,66,55,1.16
63,Codrington,AU,2022-10-01 15:03:36,-38.2667,141.9667,44.83,91,0,7.36
64,Gazanjyk,TM,2022-10-01 14:59:48,39.2446,55.5154,73.74,16,2,10.74
65,Nemuro,JP,2022-10-01 15:01:10,43.3236,145.575,63.37,88,3,7.05
66,Miguel Auza,MX,2022-10-01 15:03:37,24.2933,-103.4503,62.26,50,7,6.78
67,Albany,US,2022-10-01 14:59:38,42.6001,-73.9662,53.67,79,100,1.01
68,Bredasdorp,ZA,2022-10-01 15:03:38,-34.5322,20.0403,63.48,54,100,11.92
69,Ashta,IN,2022-10-01 15:03:38,23.0167,76.7167,72.46,83,8,7.36
70,Rutana,BI,2022-10-01 15:03:38,-3.8667,30.1,70.07,49,95,6.4
71,Barrow,US,2022-10-01 15:03:39,71.2906,-156.7887,26.62,86,100,14.97
72,Cape Town,ZA,2022-10-01 15:03:39,-33.9258,18.4232,66.34,57,100,10.0
73,Aguimes,ES,2022-10-01 15:03:39,27.9054,-15.4461,75.67,61,75,24.16
74,New Norfolk,AU,2022-10-01 15:03:40,-42.7826,147.0587,44.71,96,9,3.09
75,Erice,IT,2022-10-01 15:03:40,38.037,12.5865,66.36,54,1,17.49
76,Goderich,CA,2022-10-01 15:01:37,43.7501,-81.7165,56.91,61,100,13.8
77,Doka,SD,2022-10-01 15:03:41,13.5167,35.7667,83.43,64,8,3.4
78,Mandalgovi,MN,2022-10-01 15:03:41,45.7625,106.2708,41.02,52,100,14.74
79,Haines Junction,CA,2022-10-01 15:03:42,60.7522,-137.5108,38.44,99,100,4.68
80,Yibin,CN,2022-10-01 15:00:28,28.7667,104.6238,78.13,79,99,3.98
81,Faanui,PF,2022-10-01 15:03:42,-16.4833,-151.75,77.14,70,70,8.08
82,Busselton,AU,2022-10-01 15:03:43,-33.65,115.3333,55.63,83,38,15.93
83,Chinhoyi,ZW,2022-10-01 15:03:43,-17.3667,30.2,87.67,16,27,9.93
84,Voi,KE,2022-10-01 15:03:43,-3.3945,38.563,77.32,56,66,18.01
